statea	stateb	year	dependa	dependb	demauta	demautb	allies	dispute1	logdstab	lcaprat2	smigoabi	opena	openb	minrpwrs	noncontg
2	42	1989	6.4668624E-4	0.167192	10	7	1	0	7.3129735	4.5045867	20	0.2091	0.6728	-1.0	-1.0
2	42	1990	6.37673E-4	0.18526547	10	7	1	0	7.3129735	4.4665565	12	0.215	0.59209996	-1.0	-1.0
2	42	1991	6.840164E-4	0.19816053	10	7	1	0	7.3129735	4.4571657	4	0.2136645	0.19654343	-1.0	-1.0
2	51	1962	2.8565587E-4	0.1822076	10	10	0	0	7.0772758	6.168653	24	0.0882959	0.5809052	-1.0	-1.0
2	51	1963	2.9088772E-4	0.18703055	10	10	0	0	7.0772758	6.1520414	24	0.089119606	0.589108	-1.0	-1.0
2	51	1964	3.189985E-4	0.20044273	10	10	0	0	7.0772758	6.1178527	24	0.09326735	0.6284724	-1.0	-1.0
2	51	1965	3.2048495E-4	0.20203045	10	10	0	0	7.0772758	6.1383038	25	0.0949	0.7479	-1.0	-1.0
2	51	1966	3.4126017E-4	0.2115307	10	10	0	0	7.0772758	6.1506085	25	0.0986	0.7535	-1.0	-1.0
2	51	1967	3.4782497E-4	0.21328409	10	10	0	0	7.0772758	6.156352	25	0.0998	0.7389	-1.0	-1.0
2	51	1968	3.3497124E-4	0.19671236	10	10	0	0	7.0772758	6.158698	25	0.1038	0.7889	-1.0	-1.0
2	51	1969	3.5416597E-4	0.20107174	10	10	0	0	7.0772758	6.161589	26	0.1043	0.8046	-1.0	-1.0
2	51	1970	4.116571E-4	0.22921084	10	10	0	0	7.0772758	6.1230836	26	0.11350001	0.7065	-1.0	-1.0
2	51	1971	3.610062E-4	0.20224804	10	10	0	0	7.0772758	6.0708203	26	0.11350001	0.7476	-1.0	-1.0
2	51	1972	3.426462E-4	0.17696542	10	10	0	0	7.0772758	6.0402265	27	0.1195	0.7384	-1.0	-1.0
2	51	1973	3.3728348E-4	0.19812272	10	10	0	0	7.0772758	5.9909244	27	0.1369	0.7267	-1.0	-1.0
2	51	1974	4.0133565E-4	0.22187443	10	10	0	0	7.0772758	5.9873147	27	0.1728	0.8157	-1.0	-1.0
2	51	1975	4.5130198E-4	0.23643659	10	10	0	0	7.0772758	6.0236373	27	0.16360001	0.8088	-1.0	-1.0
2	51	1976	3.514937E-4	0.20145124	10	10	0	0	7.0772758	6.025247	28	0.1688	0.6695	-1.0	-1.0
2	51	1977	3.273894E-4	0.18692636	10	10	0	0	7.0772758	6.0216107	28	0.1721	0.5815	-1.0	-1.0
2	51	1978	3.1634828E-4	0.19632013	10	10	0	0	7.0772758	6.0368614	34	0.17799999	0.77870005	-1.0	-1.0
